Brand,Model,Versions/Trims,Sales_2024_Approx,ExShowroom_Price_Start,Fuel_Type,Segment
Mahindra,Thar Roxx,MX1/MX3/AX3L/AX5L,101417,51.74 L,EV,Mid SUV
Mahindra,XUV700,MX/AX3/AX5/AX7/AX7L,76893,9.1 L,Petrol,Sedan
Mahindra,3XO,MX1/MX2/MX3/AX5/AX7,154815,14.33 L,EV,Sedan
Mahindra,Bolero,B4/B6/B6(O),47224,16.6 L,Hybrid,Sedan
Mahindra,XUV 3XO EV,Upcoming,132342,66.56 L,EV,Mid SUV
Kia,Seltos,HTE/HTK/HTX/GTX+/X-Line,13192,27.77 L,Hybrid,Premium SUV
Kia,Sonet,HTE/HTK/HTX/GTX+/X-Line,1566,51.07 L,Petrol/CNG,MPV
Kia,Carens,Premium/Prestige/Luxury,183327,71.45 L,Hybrid,Premium SUV
Kia,Syros,HTK/HTK+/HTX/HTX+/GTX+,104949,47.61 L,Hybrid,Mid SUV
Toyota,Innova Crysta,G/GX/VX/ZX,107124,73.53 L,EV,Sedan
Toyota,Hyryder,E/S/G/V,62690,64.26 L,Petrol,Premium SUV
Toyota,Fortuner,4x2/4x4/Legender,152279,15.12 L,Petrol/Diesel,Sedan
Toyota,Glanza,E/S/G/V,155084,34.1 L,Hybrid,Hatchback
Toyota,Taisor,E/S/G/V,171807,35.12 L,EV,Compact SUV
Toyota,Innova Hycross,GX/VX/ZX/ZX(O),109178,63.74 L,EV,MPV
Honda,City,SV/V/VX/ZX,135723,39.48 L,Diesel,MPV
Honda,Amaze,E/S/VX/ZX,14608,50.44 L,Diesel,MPV
Honda,Elevate,SV/V/VX/ZX,75952,65.84 L,Petrol,Compact SUV
Honda,WR-V,Discontinued - Stock,67235,21.75 L,Petrol/CNG,MPV
Skoda,Kushaq,Active/Ambition/Style/Monte Carlo,38427,48.43 L,Petrol/CNG,MPV
Skoda,Slavia,Active/Ambition/Style,8730,64.4 L,Petrol,Mid SUV
Skoda,Kylaq,Signature/Prestige,90274,62.75 L,Petrol/CNG,Sedan
Volkswagen,Virtus,Comfortline/Highline/Topline/GT,92106,68.6 L,Petrol,Premium SUV
Volkswagen,Taigun,Comfortline/Highline/Topline/GT,154053,4.2 L,Petrol/Diesel,Premium SUV
MG,Hector,Style/Smart/Sharp/Savvy,97183,5.69 L,Petrol/Diesel,Hatchback
MG,Astor,Style/Super/Smart/Sharp/Savvy,148439,15.1 L,EV,Hatchback
MG,Windsor EV,Excite/Essence/Essence Pro,152420,49.83 L,EV,Compact SUV
MG,Comet EV,Pace/Play/Push,38956,34.35 L,Diesel,Sedan
MG,Gloster,Super/Smart/Sharp/Savvy,192563,64.57 L,Hybrid,MPV
Renault,Kwid,RXE/RXL/RXT,102941,60.0 L,Petrol/CNG,Compact SUV
Renault,Kiger,RXE/RXL/RXT/RXZ,101368,11.85 L,Diesel,Compact SUV
Renault,Triber,RXE/RXL/RXT/RXZ,25397,10.05 L,Diesel,Premium SUV
Nissan,Magnite,XE/XL/XV/Premium,118062,65.79 L,Diesel,MPV
Citroen,C3,Live/Feel/Shine,64680,42.15 L,Petrol,Sedan
Citroen,Basalt,You/Plus/Max,70609,20.58 L,Petrol,MPV
Citroen,Aircross,You/Plus/Max,43041,36.43 L,Hybrid,Mid SUV
Jeep,Compass,Sport/Longitude/Limited/Model S,26359,48.86 L,Hybrid,Mid SUV
Hyundai,i10 Nios,Era/Magna/Sportz/Asta,174458,44.02 L,Petrol/CNG,Sedan
Maruti,Invicto,Zeta+/Alpha+,23290,35.7 L,Petrol/CNG,MPV
Toyota,Hilux,Standard/High,140092,53.62 L,Petrol/CNG,Sedan
Mahindra,XUV400 EV,EC/EL,121766,33.18 L,Hybrid,Premium SUV
Tata,Nexon EV,Creative/Empowered,27899,39.2 L,Hybrid,Hatchback
Tata,Punch EV,Smart/Adventure/Empowered,108253,54.07 L,Petrol/Diesel,Premium SUV
Mahindra,BE 6,Pack One/Two/Three,191439,67.93 L,EV,MPV
Mahindra,XEV 9e,Pack One/Two/Three,165691,69.99 L,Hybrid,Hatchback
Kia,EV6,GT-Line/AWD,94646,26.73 L,Petrol/Diesel,Sedan
